City,State,Date_started,Date_ended,Size,Lat,Long,Local_coverage_link,Notes
Stuart,FL,,,,27.189748,-80.254768,https://www.tcpalm.com/story/news/local/2020/05/31/peaceful-rallies-pop-up-treasure-coast-hundreds-demonstrate-response-george-floyd-death-minneapolis/5300565002/,
Tallahassee,FL,,,minor,30.427753,-84.258472,https://www.tallahassee.com/story/news/2020/06/01/tallahassee-law-enforcement-leaders-protesters-talk-concessions-during-negotiations/5306679002/,
Tampa,FL,,5/31/20,major,27.996097,-82.582035,https://www.tampabay.com/news/breaking-news/2020/05/31/curfew-in-effect-tampa-protests-ongoing/,
West Melbourne,FL,,,minor,28.079357,-80.623618,https://www.floridatoday.com/story/news/2020/06/01/rallygoers-shout-no-justice-no-peace-front-west-melbourne-officers/5312010002/,
West Palm Beach,FL,,,major,26.715844,-80.070249,https://www.palmbeachpost.com/news/20200601/floyd-protests-sunday-started-with-peaceful-march-then-things-got-tense,
Plant City,FL,,,,28.029627,-82.134741,https://www.plantcityobserver.com/photo-gallery/hundreds-gather-for-justice-for-george-floyd/,
Auburndale,FL,,,,28.0653,-81.78869,https://www.wfla.com/news/polk-county/peaceful-protest-in-auburndale-ends-with-police-chaplain-embracing-demonstrator/,small
Brooksville,FL,,,,28.586197,-82.395858,https://www.wfla.com/news/local-news/hernando-county/hernando-county-protests-remain-peaceful-despite-counter-protesters/,
Albany,GA,,,,31.560674,-84.176751,https://wnyt.com/albany-new-york-news/albany-protests-turn-violent-businesses-damaged-south-pearl-street-arch-street-albany-police-south-station-colonie-center-mandt-bank-park-avenue-wine-and-liquor-berkshire-bank-/5747018/,
Athens,GA,,,,33.9519,-83.3576,https://www.onlineathens.com/news/20200601/athens-protest-ends-with-police-national-guard-use-of-tear-gas,
Atlanta,GA,,,major,33.753746,-84.38633,https://www.ajc.com/news/local/complete-coverage-atlanta-protests/752UoUuBszpNakoEKP4raO/,
Augusta,GA,,,,33.456687,-81.969184,https://www.augustachronicle.com/news/20200530/augusta-demonstrators-promote-peace-over-violence-in-marches-for-racial-justice,
Carrollton,GA,,,,33.604458,-85.04987,https://www.times-georgian.com/news/marches-against-racial-injustice-occur-peacefully-in-carroll/article_a28b2fa0-0085-5937-8fe8-f3d208a7bdd3.html,
Columbus,GA,,,,32.472864,-84.97823,https://www.wrbl.com/top-stories/second-downtown-columbus-protest-triggers-multiple-arrests-sunday-afternoon/,
LaGrange,GA,,,,33.024347,-85.073906,https://www.wtvm.com/2020/05/31/protesters-meet-downtown-lagrange-peaceful-gathering/,
Milledgeville,GA,,,,33.072279,-83.239008,https://wgxa.tv/news/local/protesters-stand-at-milledgeville-courthouse-in-response-to-george-floyds-death,tiny
Monroe,GA,,,,33.788322,-83.701264,https://www.waltontribune.com/multimedia/collection_97817156-a4f2-11ea-bc54-f7b05a23dd51.html,small
Savannah,GA,,,,32.074679,-81.088261,https://www.wsav.com/news/local-news/live-updates-protesters-gather-in-downtown-savannah-over-george-floyd-death/,
Thomasville,GA,,,,30.853592,-83.888269,https://www.unionrecorder.com/news/ga_fl_news/peaceful-protest-draws-dozens-of-marchers/article_e3943123-3224-513d-a60f-d5c57a7b3b72.html,small
Woodstock,GA,,,,34.127398,-84.481787,https://www.tribuneledgernews.com/local_news/people-peacefully-protest-in-woodstock/collection_a48589ca-a437-11ea-8525-07fe2d2b04e8.html,small
Marietta,GA,,,,33.912473,-84.557181,https://www.mdjonline.com/news/marietta-sees-second-day-of-peaceful-protests/article_8b0a9ee4-a43d-11ea-8228-d3d46274a05f.html,
Dunwoody,GA,,,,33.946213,-84.334647,https://www.ajc.com/news/local/protests-planned-dunwoody-today/k8T4h6nUax7gNh8KuPCaOM/,
